year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2003,ARGENTINA,AR,BELGRANO,AR-74014,SAN LUIS,AR-74,5675.931571
2003,ARGENTINA,AR,BELGRANO,AR-86042,SANTIAGO DEL ESTERO,AR-86,8688.212829
2003,ARGENTINA,AR,BERMEJO,AR-22014,CHACO,AR-22,5754.689927
2003,ARGENTINA,AR,BERMEJO,AR-34007,FORMOSA,AR-34,1530.833058
2003,ARGENTINA,AR,CALAMUCHITA,AR-14007,CORDOBA,AR-14,579.5105372
2003,ARGENTINA,AR,CAPAYAN,AR-10042,CATAMARCA,AR-10,665.4869446
2003,ARGENTINA,AR,CAPITAL,AR-10049,CATAMARCA,AR-10,92.21193531
2003,ARGENTINA,AR,CAPITAL,AR-18021,CORRIENTES,AR-18,994.5142289
2003,ARGENTINA,AR,CAPITAL,AR-46014,LA RIOJA,AR-46,1959.696734
2003,ARGENTINA,AR,CAPITAL,AR-86049,SANTIAGO DEL ESTERO,AR-86,2517.659227
2003,ARGENTINA,AR,CERRILLOS,AR-66035,SALTA,AR-66,19.33138846
2003,ARGENTINA,AR,CHACABUCO,AR-22028,CHACO,AR-22,3392.128576
2003,ARGENTINA,AR,CHACABUCO,AR-74028,SAN LUIS,AR-74,1777.704003
2003,ARGENTINA,AR,CHAMICAL,AR-46035,LA RIOJA,AR-46,220.9513229
2003,ARGENTINA,AR,CHOYA,AR-86063,SANTIAGO DEL ESTERO,AR-86,3837.617836
2003,ARGENTINA,AR,COMANDANTE FERNANDEZ,AR-22021,CHACO,AR-22,3207.683146
2003,ARGENTINA,AR,COPO,AR-86056,SANTIAGO DEL ESTERO,AR-86,2626.297109
2003,ARGENTINA,AR,CRUZ ALTA,AR-90014,TUCUMAN,AR-90,728.1821838
2003,ARGENTINA,AR,CRUZ DEL EJE,AR-14028,CORDOBA,AR-14,7658.337875
2003,ARGENTINA,AR,EL ALTO,AR-10056,CATAMARCA,AR-10,211.4806922
2003,ARGENTINA,AR,FIGUEROA,AR-86070,SANTIAGO DEL ESTERO,AR-86,4336.531461
2003,ARGENTINA,AR,FORMOSA,AR-34014,FORMOSA,AR-34,11122.2912
2003,ARGENTINA,AR,FRAY JUSTO SANTA MARIA DE ORO,AR-22043,CHACO,AR-22,1375.192863
2003,ARGENTINA,AR,FRAY MAMERTO ESQUIU,AR-10063,CATAMARCA,AR-10,23.43429279
2003,ARGENTINA,AR,GENERAL ANGEL V. PENALOZA,AR-46056,LA RIOJA,AR-46,729.711831
2003,ARGENTINA,AR,GENERAL BELGRANO,AR-22049,CHACO,AR-22,2500.51985
